Community,PARCC Proficiency,Median Household Income
Allendale/Irvington/S. Hilton,7.5,"39,495.6"
Baltimore City,13.4,"46,641.0"
Beechfield/Ten Hills/West Hills,16.4,"57,572.5"
Belair-Edison,14.6,"39,624.5"
Brooklyn/Curtis Bay/Hawkins Point,4.9,"40,275.3"
Canton,66.7,"111,891.3"
Cedonia/Frankford,11.7,"41,625.6"
Cherry Hill,6.3,"24,251.0"
Chinquapin Park/Belvedere,22,"54,249.6"
Claremont/Armistead,10.5,"34,792.6"
Clifton-Berea,8.7,"32,288.7"
Cross-Country/Cheswolde,23.5,"56,167.0"
Dickeyville/Franklintown,12.7,"41,463.1"
Dorchester/Ashburton,15.6,"43,640.6"
Downtown/Seton Hill,0,"53,762.9"
Edmondson Village,15.5,"41,642.1"
Fells Point,47.2,"91,207.2"
Forest Park/Walbrook,20.2,"42,499.5"
Glen-Fallstaff,14.8,"40,869.8"
Greater Charles Village/Barclay,19.4,"39,097.2"
Greater Govans,11.1,"41,249.8"
Greater Mondawmin,12.3,"37,254.5"
Greater Roland Park/Poplar Hill,69.2,"113,496.1"
Greater Rosemont,5.9,"35,055.4"
Greenmount East,5.9,"26,563.3"
Hamilton,17.2,"65,130.5"
Harbor East/Little Italy,4.3,"46,666.3"
Harford/Echodale,16.7,"55,808.7"
Highlandtown,17.1,"82,652.1"
Howard Park/West Arlington,11.4,"53,318.3"
Inner Harbor/Federal Hill,40.6,"98,763.5"
Lauraville,15.6,"67,320.4"
Loch Raven,16.1,"52,080.0"
Madison/East End,4.7,"29,975.9"
Medfield/Hampden/Woodberry/Remington,37.5,"65,098.5"
Midtown,18.9,"47,406.4"
Midway/Coldstream,6.2,"35,273.4"
Morrell Park/Violetville,11,"40,950.9"
Mount Washington/Coldspring,53.7,"79,992.6"
North Baltimore/Guilford/Homeland,55.6,"90,704.5"
Northwood,18.8,"55,416.1"
Oldtown/Middle East,5.9,"19,127.4"
Orangeville/East Highlandtown,9.6,"51,915.3"
Patterson Park North & East,12.9,"69,760.0"
Penn North/Reservoir Hill,10.6,"34,873.3"
Pimlico/Arlington/Hilltop,10.6,"30,582.4"
Poppleton/The Terraces/Hollins Market,7.3,"20,409.0"
Sandtown-Winchester/Harlem Park,8.1,"25,208.9"
South Baltimore,62.1,"109,295.2"
Southeastern,7.3,"33,777.0"
Southern Park Heights,7.5,"24,941.4"
Southwest Baltimore,6.8,"25,427.8"
The Waverlies,13.9,"39,098.0"
Upton/Druid Heights,7.4,"20,467.7"
Washington Village/Pigtown,14.3,"38,851.7"
Westport/Mount Winans/Lakeland,20.5,"36,645.2"
